,Hopital,Dept,ChefLieu,NbCOVID,NbLitDispo,NbDeces,NbSortieVivant,Date,Region,lat,long
0,Troyes,Aube,Troyes,,,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.2981,4.082
1,Epinal,Vosges,Épinal,4.0,3.0,1.0,2.0,2020-03-18 20:00:00,GrdEst,48.1688,6.4766
2,Claude-B,Moselle,Metz,4.0,2.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
3,HPM-Schuman,Moselle,Metz,7.0,1.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
4,CHR-CCV,Moselle,Metz,3.0,7.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
5,CHR-Mercy,Moselle,Metz,16.0,0.0,2.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
6,CHR-Thionville,Moselle,Metz,2.0,3.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
7,Gentilly,Meurthe-et-Moselle,Nancy,1.0,5.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.6889,6.1709
8,Nancy-ChirB,Meurthe-et-Moselle,Nancy,3.0,10.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.6889,6.1709
9,Nancy-MIRB,Meurthe-et-Moselle,Nancy,13.0,1.0,2.0,0.0,2020-03-18 20:00:00,GrdEst,48.6889,6.1709
10,Nancy-MIRC,Meurthe-et-Moselle,Nancy,20.0,6.0,1.0,2.0,2020-03-18 20:00:00,GrdEst,48.6889,6.1709
11,Verdun,Meuse,Verdun,1.0,7.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.7685,5.1668
12,Reims-MIR,Marne,Châlons-en-Champagne,8.0,7.0,1.0,2.0,2020-03-18 20:00:00,GrdEst,48.9556,4.3737
13,Mulhouse-Chir,Haut-Rhin,Colmar,19.0,1.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.1203,7.3936
14,Colmar-Chir,Haut-Rhin,Colmar,10.0,0.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.1203,7.3936
15,Mulhouse-MIR,Haut-Rhin,Colmar,20.0,0.0,7.0,0.0,2020-03-18 20:00:00,GrdEst,48.1203,7.3936
16,HTP-Chir,Bas-Rhin,Strasbourg,13.0,5.0,1.0,0.0,2020-03-18 20:00:00,GrdEst,48.5673,7.7553
17,Saverne,Bas-Rhin,Strasbourg,4.0,3.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.5673,7.7553
18,Colmar-Med,Haut-Rhin,Colmar,15.0,0.0,1.0,1.0,2020-03-18 20:00:00,GrdEst,48.1203,7.3936
19,Haguenau,Bas-Rhin,Strasbourg,10.0,4.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.5673,7.7553
20,Charleville-Mezieres,Ardennes,Charleville-Mézières,,,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.7783,4.7198
